gene	supplied_set	source_cell	evidence
HTRA4	ATF3_unique	A546	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IBTK	ATF3_unique	A547	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ICA1	ATF3_unique	A548	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IER3	ATF3_unique	A549	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IER5	ATF3_unique	A550	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFIT1B	ATF3_unique	A551	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFIT3	ATF3_unique	A552	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFNAR1	ATF3_unique	A553	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFNAR2	ATF3_unique	A554	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFNG	ATF3_unique	A555	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IFT57	ATF3_unique	A556	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IGF1	ATF3_unique	A557	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IGFBP7	ATF3_unique	A558	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IKZF1	ATF3_unique	A559	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IKZF2	ATF3_unique	A560	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL10RB	ATF3_unique	A561	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL12B	ATF3_unique	A562	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL13RA1	ATF3_unique	A563	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL15	ATF3_unique	A564	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL17B	ATF3_unique	A565	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL1A	ATF3_unique	A566	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL1B	ATF3_unique	A567	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL1RAP	ATF3_unique	A568	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL1RAPL2	ATF3_unique	A569	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL21R	ATF3_unique	A570	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL23R	ATF3_unique	A571	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL31RA	ATF3_unique	A572	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL4	ATF3_unique	A573	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL4R	ATF3_unique	A574	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL6	ATF3_unique	A575	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IL7R	ATF3_unique	A576	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IMP4	ATF3_unique	A577	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IMPG2	ATF3_unique	A578	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
INO80D	ATF3_unique	A579	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
INPP4B	ATF3_unique	A580	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
INSL3	ATF3_unique	A581	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
INTS12	ATF3_unique	A582	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IPMK	ATF3_unique	A583	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IRGC	ATF3_unique	A584	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IRS1	ATF3_unique	A585	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
IRS2	ATF3_unique	A586	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ITGB1	ATF3_unique	A587	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ITM2B	ATF3_unique	A588	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ITPR2	ATF3_unique	A589	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
JAML	ATF3_unique	A590	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
JCAD	ATF3_unique	A591	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
JMJD7	ATF3_unique	A592	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
JMY	ATF3_unique	A593	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
JPH1	ATF3_unique	A594	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KANK1	ATF3_unique	A595	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KAZN	ATF3_unique	A596	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCND1	ATF3_unique	A597	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCND2	ATF3_unique	A598	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNG1	ATF3_unique	A599	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNIP1	ATF3_unique	A600	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNIP4	ATF3_unique	A601	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNJ16	ATF3_unique	A602	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNK2	ATF3_unique	A603	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNMA1	ATF3_unique	A604	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNMB2	ATF3_unique	A605	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNN2	ATF3_unique	A606	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNN4	ATF3_unique	A607	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNQ3	ATF3_unique	A608	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNQ5	ATF3_unique	A609	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNRG	ATF3_unique	A610	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNS1	ATF3_unique	A611	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCNU1	ATF3_unique	A612	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCTD12	ATF3_unique	A613	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCTD16	ATF3_unique	A614	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCTD19	ATF3_unique	A615	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCTD3	ATF3_unique	A616	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KCTD4	ATF3_unique	A617	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KDM6B	ATF3_unique	A618	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KDM8	ATF3_unique	A619	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIAA0408	ATF3_unique	A620	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIAA1217	ATF3_unique	A621	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIAA1456	ATF3_unique	A622	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF16B	ATF3_unique	A623	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF26B	ATF3_unique	A624	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF3B	ATF3_unique	A625	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIF3C	ATF3_unique	A626	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIFC3	ATF3_unique	A627	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KIT	ATF3_unique	A628	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KITLG	ATF3_unique	A629	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KL	ATF3_unique	A630	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLF12	ATF3_unique	A631	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLF4	ATF3_unique	A632	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLF5	ATF3_unique	A633	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLF7	ATF3_unique	A634	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLHL13	ATF3_unique	A635	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLHL25	ATF3_unique	A636	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLHL31	ATF3_unique	A637	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KLKB1	ATF3_unique	A638	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KMO	ATF3_unique	A639	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KPNA2	ATF3_unique	A640	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KRBOX4	ATF3_unique	A641	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KRTAP10-1	ATF3_unique	A642	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KRTAP2-3	ATF3_unique	A643	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
KTN1	ATF3_unique	A644	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LAMB3	ATF3_unique	A645	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LANCL2	ATF3_unique	A646	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LARS	ATF3_unique	A647	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LAX1	ATF3_unique	A648	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LAYN	ATF3_unique	A649	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LCLAT1	ATF3_unique	A650	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LCOR	ATF3_unique	A651	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LCP2	ATF3_unique	A652	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LDHAL6B	ATF3_unique	A653	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LHFPL5	ATF3_unique	A654	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LHX9	ATF3_unique	A655	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LIMS1	ATF3_unique	A656	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LINGO2	ATF3_unique	A657	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LIPC	ATF3_unique	A658	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
LIPM	ATF3_unique	A659	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
